bot	id	type	arabic	translit	english
SA	1	classic	هو يحبها	huwa yuhibbuha	He loves her
SA	2	classic	هي تقرأ كتاب	hiya taqra kitab	She reads a book
SA	3	classic	وش تسوي؟	wesh tsawwi?	What are you doing?
SA	4	classic	وين عنوانك؟	wēn ʿunwānak?	Where is your address?
SA	5	classic	وين عنوانك؟	wēn ʿunwānak?	Where is your address?
SA	6	classic	أبغى أجرب	abgha ajarrib	I want to try
SA	7	classic	حياك الله	hayyak Allah	Welcome / You’re welcome
SA	8	classic	أبغى قهوة لو سمحت	abgha gahwa law samaht	I want a coffee, please
SA	9	classic	والله للحين ما جاني رد	wallah lilḥīn ma jāni radd	Honestly, I still haven’t received a reply
SA	10	classic	والله اليوم عندي مشوار	wallah alyōm ʿindi mishwār	Honestly, I have an errand today
SA	11	classic	آكل	ākil	I eat
SA	12	classic	آكل مانجو	ākil māngo	I eat mango
SA	13	classic	آكل مانجو كل يوم	ākil māngo kul yōm	I eat mango every day
SA	14	classic	آكل مانجو كل يوم بالليل	ākil māngo kul yōm bil-lēl	I eat mango every evening
SA	15	classic	أشرب	ashrab	I drink
SA	16	classic	أشرب قهوة	ashrab gahwa	I drink coffee
SA	17	classic	أشرب قهوة كل صباح	ashrab gahwa kul sabah	I drink coffee every morning
SA	19	classic	أشرب	ashrab	I drink
SA	20	classic	أشرب قهوة	ashrab gahwa	I drink coffee
SA	21	classic	أشرب قهوة كل صباح	ashrab gahwa kul sabah	I drink coffee every morning
SA	22	classic	أشرب قهوة كل صباح في المكتب	ashrab gahwa kul sabah fil-maktab	I drink coffee every morning at the office
SA	23	classic	أشرب قهوة	ashrab gahwa	I drink coffee
SA	24	classic	أشرب	ashrab	I drink
SA	25	classic	أشرب قهوة	ashrab gahwa	I drink coffee
SA	26	classic	أشرب قهوة كل صباح	ashrab gahwa kul sabah	I drink coffee every morning
SA	27	classic	أشرب قهوة كل صباح في المكتب	ashrab gahwa kul sabah fil-maktab	I drink coffee every morning at the office
SA	28	classic	أروح	arouh	I go
SA	29	classic	أروح السوق	arouh as-soug	I go to the market
SA	30	classic	أروح السوق بعد الدوام	arouh as-soug baad ad-dawam	I go to the market after work
SA	31	classic	أروح السوق بعد الدوام مع صاحبي	arouh as-soug baad ad-dawam maa sahbi	I go to the market after work with my friend
SA	32	classic	أطبخ	atbukh	I cook
SA	33	classic	أطبخ عشاء	atbukh asha	I cook dinner
SA	34	classic	أطبخ عشاء في البيت	atbukh asha fil-bet	I cook dinner at home
SA	35	classic	أطبخ عشاء في البيت كل خميس	atbukh asha fil-bet kul khamees	I cook dinner at home every Thursday
SA	36	classic	أتعلم	atallam	I learn
SA	37	classic	أتعلم عربي	atallam arabi	I learn Arabic
SA	38	classic	أتعلم عربي كل يوم	atallam arabi kul yawm	I learn Arabic every day
SA	39	classic	أتعلم عربي كل يوم عشر دقايق	atallam arabi kul yawm ashar dagayig	I learn Arabic every day for ten minutes
SA	40	classic	أسمع	asma	I listen
SA	41	classic	أسمع بودكاست	asma podcast	I listen to a podcast
SA	42	classic	أسمع بودكاست في السيارة	asma podcast fis-sayyarah	I listen to a podcast in the car
SA	43	classic	أسمع بودكاست في السيارة وأنا رايح الدوام	asma podcast fis-sayyarah wa ana rayeh ad-dawam	I listen to a podcast in the car while going to work
SA	44	classic	أرسل	arsil	I send
SA	45	classic	أرسل رسالة	arsil risalah	I send a message
SA	46	classic	أرسل رسالة للمدير	arsil risalah lil-mudeer	I send a message to the manager
SA	47	classic	أرسل رسالة للمدير قبل الاجتماع	arsil risalah lil-mudeer gabl al-ijtimaa	I send a message to the manager before the meeting
SA	48	classic	أشتري	ashtari	I buy
SA	49	classic	أشتري خبز	ashtari khubz	I buy bread
SA	50	classic	أشتري خبز من البقالة	ashtari khubz min al-baggalah	I buy bread from the grocery store
SA	51	classic	أشتري خبز من البقالة قبل الفطور	ashtari khubz min al-baggalah gabl al-futoor	I buy bread from the grocery store before breakfast
SA	52	classic	أقابل	agabil	I meet
SA	53	classic	أقابل صاحبي	agabil sahbi	I meet my friend
